Sample,Family ID,Population,Population Description
HG01998,PEL31,PEL,"Peruvian in Lima, Peru"
HG02002,PEL33,PEL,"Peruvian in Lima, Peru"
HG02003,PEL33,PEL,"Peruvian in Lima, Peru"
HG02004,PEL33,PEL,"Peruvian in Lima, Peru"
HG02006,PEL34,PEL,"Peruvian in Lima, Peru"
HG02008,PEL31,PEL,"Peruvian in Lima, Peru"
HG02009,BB13,ACB,African Caribbean in Barbados
HG02010,BB13,ACB,African Caribbean in Barbados
HG02011,BB13,ACB,African Caribbean in Barbados
HG02012,BB12,ACB,African Caribbean in Barbados
HG02013,BB07,ACB,African Caribbean in Barbados
HG02014,BB04,ACB,African Caribbean in Barbados
HG02015,VN046,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02016,VN046,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02017,VN046,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02018,VN047,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02019,VN047,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02020,VN047,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02021,VN048,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02023,VN048,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02024,VN049,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02025,VN049,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02026,VN049,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02027,VN050,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02028,VN050,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02029,VN050,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02030,VN051,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02031,VN051,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02032,VN051,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02035,VN052,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02040,VN054,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02046,VN056,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02047,VN056,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02048,VN057,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02049,VN058,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02050,VN059,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02051,BB14,ACB,African Caribbean in Barbados
HG02052,BB14,ACB,African Caribbean in Barbados
HG02053,BB15,ACB,African Caribbean in Barbados
HG02054,BB15,ACB,African Caribbean in Barbados
HG02055,BB15,ACB,African Caribbean in Barbados
HG02056,VN060,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02057,VN060,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02058,VN060,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02059,VN061,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02060,VN061,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02061,VN061,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02064,VN062,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02067,VN063,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02068,VN064,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02069,VN064,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02070,VN064,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02071,VN065,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02072,VN065,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02073,VN065,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02074,VN066,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02075,VN066,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02076,VN066,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02077,VN067,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02078,VN067,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02079,VN067,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02080,VN068,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02081,VN068,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02082,VN068,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02083,VN069,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02084,VN069,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02085,VN069,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02086,VN070,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02087,VN071,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02088,VN072,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02089,PEL35,PEL,"Peruvian in Lima, Peru"
HG02090,PEL35,PEL,"Peruvian in Lima, Peru"
HG02091,PEL35,PEL,"Peruvian in Lima, Peru"
HG02095,BB16,ACB,African Caribbean in Barbados
HG02102,PEL37,PEL,"Peruvian in Lima, Peru"
HG02104,PEL38,PEL,"Peruvian in Lima, Peru"
HG02105,PEL38,PEL,"Peruvian in Lima, Peru"
HG02106,PEL38,PEL,"Peruvian in Lima, Peru"
HG02107,BB18,ACB,African Caribbean in Barbados
HG02108,BB18,ACB,African Caribbean in Barbados
HG02111,BB19,ACB,African Caribbean in Barbados
HG02113,VN073,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02116,VN074,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02120,VN076,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02121,VN076,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02122,VN076,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02126,VN078,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02127,VN078,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02128,VN078,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02129,VN079,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02130,VN079,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02131,VN079,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02132,VN080,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02133,VN080,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02134,VN080,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02135,VN081,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02136,VN081,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02137,VN081,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02138,VN082,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02139,VN083,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02140,VN084,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02141,VN085,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02142,VN086,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02143,BB20,ACB,African Caribbean in Barbados
HG02144,BB20,ACB,African Caribbean in Barbados
HG02145,BB20,ACB,African Caribbean in Barbados
HG02146,PEL39,PEL,"Peruvian in Lima, Peru"
HG02147,PEL39,PEL,"Peruvian in Lima, Peru"
HG02148,PEL39,PEL,"Peruvian in Lima, Peru"
HG02150,PEL40,PEL,"Peruvian in Lima, Peru"
HG02151,HG02151,CDX,"Chinese Dai in Xishuangbanna, China"
HG02152,HG02152,CDX,"Chinese Dai in Xishuangbanna, China"
HG02153,HG02153,CDX,"Chinese Dai in Xishuangbanna, China"
HG02154,HG02154,CDX,"Chinese Dai in Xishuangbanna, China"
HG02155,HG02155,CDX,"Chinese Dai in Xishuangbanna, China"
HG02156,HG02156,CDX,"Chinese Dai in Xishuangbanna, China"
HG02164,HG02164,CDX,"Chinese Dai in Xishuangbanna, China"
HG02165,HG02165,CDX,"Chinese Dai in Xishuangbanna, China"
HG02166,HG02166,CDX,"Chinese Dai in Xishuangbanna, China"
HG02168,HG02168,CDX,"Chinese Dai in Xishuangbanna, China"
HG02169,HG02169,CDX,"Chinese Dai in Xishuangbanna, China"
HG02170,HG02170,CDX,"Chinese Dai in Xishuangbanna, China"
HG02173,HG02173,CDX,"Chinese Dai in Xishuangbanna, China"
HG02176,HG02176,CDX,"Chinese Dai in Xishuangbanna, China"
HG02178,HG02178,CDX,"Chinese Dai in Xishuangbanna, China"
HG02179,HG02179,CDX,"Chinese Dai in Xishuangbanna, China"
HG02180,HG02180,CDX,"Chinese Dai in Xishuangbanna, China"
HG02181,HG02181,CDX,"Chinese Dai in Xishuangbanna, China"
HG02182,HG02182,CDX,"Chinese Dai in Xishuangbanna, China"
HG02184,HG02184,CDX,"Chinese Dai in Xishuangbanna, China"
HG02185,HG02185,CDX,"Chinese Dai in Xishuangbanna, China"
HG02186,HG02186,CDX,"Chinese Dai in Xishuangbanna, China"
HG02187,HG02187,CDX,"Chinese Dai in Xishuangbanna, China"
HG02188,HG02188,CDX,"Chinese Dai in Xishuangbanna, China"
HG02189,HG02189,CDX,"Chinese Dai in Xishuangbanna, China"
HG02190,HG02190,CDX,"Chinese Dai in Xishuangbanna, China"
HG02215,HG02215,GBR,British in England and Scotland
HG02217,IBS055,IBS,Iberian populations in Spain
HG02218,IBS055,IBS,Iberian populations in Spain
HG02219,IBS055,IBS,Iberian populations in Spain
HG02220,IBS056,IBS,Iberian populations in Spain
HG02221,IBS056,IBS,Iberian populations in Spain
HG02222,IBS056,IBS,Iberian populations in Spain
HG02223,IBS057,IBS,Iberian populations in Spain
HG02224,IBS057,IBS,Iberian populations in Spain
HG02225,IBS057,IBS,Iberian populations in Spain
HG02229,IBS059,IBS,Iberian populations in Spain
HG02230,IBS059,IBS,Iberian populations in Spain
HG02231,IBS059,IBS,Iberian populations in Spain
HG02232,IBS060,IBS,Iberian populations in Spain
HG02233,IBS060,IBS,Iberian populations in Spain
HG02234,IBS060,IBS,Iberian populations in Spain
HG02235,IBS061,IBS,Iberian populations in Spain
HG02236,IBS061,IBS,Iberian populations in Spain
HG02237,IBS061,IBS,Iberian populations in Spain
HG02238,IBS062,IBS,Iberian populations in Spain
HG02239,IBS062,IBS,Iberian populations in Spain
HG02240,IBS062,IBS,Iberian populations in Spain
HG02250,HG02250,CDX,"Chinese Dai in Xishuangbanna, China"
HG02252,PEL41,PEL,"Peruvian in Lima, Peru"
HG02253,PEL41,PEL,"Peruvian in Lima, Peru"
HG02254,PEL41,PEL,"Peruvian in Lima, Peru"
HG02255,BB21,ACB,African Caribbean in Barbados
HG02256,BB21,ACB,African Caribbean in Barbados
HG02257,BB21,ACB,African Caribbean in Barbados
HG02258,BB22,ACB,African Caribbean in Barbados
HG02259,PEL42,PEL,"Peruvian in Lima, Peru"
HG02260,PEL42,PEL,"Peruvian in Lima, Peru"
HG02261,PEL42,PEL,"Peruvian in Lima, Peru"
HG02262,PEL43,PEL,"Peruvian in Lima, Peru"
HG02265,PEL44,PEL,"Peruvian in Lima, Peru"
HG02266,PEL44,PEL,"Peruvian in Lima, Peru"
HG02267,PEL44,PEL,"Peruvian in Lima, Peru"
HG02271,PEL46,PEL,"Peruvian in Lima, Peru"
HG02272,PEL46,PEL,"Peruvian in Lima, Peru"
HG02273,PEL46,PEL,"Peruvian in Lima, Peru"
HG02274,PEL47,PEL,"Peruvian in Lima, Peru"
HG02275,PEL47,PEL,"Peruvian in Lima, Peru"
HG02276,PEL47,PEL,"Peruvian in Lima, Peru"
HG02277,PEL48,PEL,"Peruvian in Lima, Peru"
HG02278,PEL48,PEL,"Peruvian in Lima, Peru"
HG02279,PEL48,PEL,"Peruvian in Lima, Peru"
HG02280,BB23,ACB,African Caribbean in Barbados
HG02281,BB24,ACB,African Caribbean in Barbados
HG02282,BB24,ACB,African Caribbean in Barbados
HG02283,BB25,ACB,African Caribbean in Barbados
HG02284,BB26,ACB,African Caribbean in Barbados
HG02285,PEL49,PEL,"Peruvian in Lima, Peru"
HG02286,PEL49,PEL,"Peruvian in Lima, Peru"
HG02287,PEL49,PEL,"Peruvian in Lima, Peru"
HG02288,PEL50,PEL,"Peruvian in Lima, Peru"
HG02291,PEL51,PEL,"Peruvian in Lima, Peru"
HG02292,PEL51,PEL,"Peruvian in Lima, Peru"
HG02293,PEL51,PEL,"Peruvian in Lima, Peru"
HG02298,PEL52,PEL,"Peruvian in Lima, Peru"
HG02299,PEL52,PEL,"Peruvian in Lima, Peru"
HG02300,PEL52,PEL,"Peruvian in Lima, Peru"
HG02301,PEL53,PEL,"Peruvian in Lima, Peru"
HG02302,PEL53,PEL,"Peruvian in Lima, Peru"
HG02303,PEL53,PEL,"Peruvian in Lima, Peru"
HG02304,PEL54,PEL,"Peruvian in Lima, Peru"
HG02307,BB23,ACB,African Caribbean in Barbados
HG02308,BB23,ACB,African Caribbean in Barbados
HG02309,BB25,ACB,African Caribbean in Barbados
HG02312,PEL55,PEL,"Peruvian in Lima, Peru"
HG02314,BB22,ACB,African Caribbean in Barbados
HG02315,BB22,ACB,African Caribbean in Barbados
HG02316,BB27,ACB,African Caribbean in Barbados
HG02317,BB27,ACB,African Caribbean in Barbados
HG02318,BB27,ACB,African Caribbean in Barbados
HG02321,BB24,ACB,African Caribbean in Barbados
HG02322,BB28,ACB,African Caribbean in Barbados
HG02323,BB29,ACB,African Caribbean in Barbados
HG02325,BB30,ACB,African Caribbean in Barbados
HG02330,BB33,ACB,African Caribbean in Barbados
HG02332,BB16,ACB,African Caribbean in Barbados
HG02334,BB32,ACB,African Caribbean in Barbados
HG02337,BB31,ACB,African Caribbean in Barbados
HG02339,BB34,ACB,African Caribbean in Barbados
HG02343,BB35,ACB,African Caribbean in Barbados
HG02344,PEL56,PEL,"Peruvian in Lima, Peru"
HG02345,PEL56,PEL,"Peruvian in Lima, Peru"
HG02347,PEL57,PEL,"Peruvian in Lima, Peru"
HG02348,PEL57,PEL,"Peruvian in Lima, Peru"
HG02351,HG02351,CDX,"Chinese Dai in Xishuangbanna, China"
HG02353,HG02353,CDX,"Chinese Dai in Xishuangbanna, China"
HG02355,HG02355,CDX,"Chinese Dai in Xishuangbanna, China"
HG02356,HG02356,CDX,"Chinese Dai in Xishuangbanna, China"
HG02358,HG02358,CDX,"Chinese Dai in Xishuangbanna, China"
HG02360,HG02360,CDX,"Chinese Dai in Xishuangbanna, China"
HG02363,HG02363,CDX,"Chinese Dai in Xishuangbanna, China"
HG02364,HG02364,CDX,"Chinese Dai in Xishuangbanna, China"
HG02367,HG02367,CDX,"Chinese Dai in Xishuangbanna, China"
HG02371,CDX2,CDX,"Chinese Dai in Xishuangbanna, China"
HG02372,CDX2,CDX,"Chinese Dai in Xishuangbanna, China"
HG02373,HG02373,CDX,"Chinese Dai in Xishuangbanna, China"
HG02374,HG02374,CDX,"Chinese Dai in Xishuangbanna, China"
HG02375,HG02375,CDX,"Chinese Dai in Xishuangbanna, China"
HG02377,HG02377,CDX,"Chinese Dai in Xishuangbanna, China"
HG02379,HG02379,CDX,"Chinese Dai in Xishuangbanna, China"
HG02380,HG02380,CDX,"Chinese Dai in Xishuangbanna, China"
HG02381,HG02381,CDX,"Chinese Dai in Xishuangbanna, China"
HG02382,HG02382,CDX,"Chinese Dai in Xishuangbanna, China"
HG02383,HG02383,CDX,"Chinese Dai in Xishuangbanna, China"
HG02384,HG02384,CDX,"Chinese Dai in Xishuangbanna, China"
HG02385,HG02385,CDX,"Chinese Dai in Xishuangbanna, China"
HG02386,HG02386,CDX,"Chinese Dai in Xishuangbanna, China"
HG02387,HG02387,CDX,"Chinese Dai in Xishuangbanna, China"
HG02388,HG02388,CDX,"Chinese Dai in Xishuangbanna, China"
HG02389,HG02389,CDX,"Chinese Dai in Xishuangbanna, China"
HG02390,HG02390,CDX,"Chinese Dai in Xishuangbanna, China"
HG02391,HG02391,CDX,"Chinese Dai in Xishuangbanna, China"
HG02392,HG02392,CDX,"Chinese Dai in Xishuangbanna, China"
HG02394,HG02394,CDX,"Chinese Dai in Xishuangbanna, China"
HG02395,HG02395,CDX,"Chinese Dai in Xishuangbanna, China"
HG02396,HG02396,CDX,"Chinese Dai in Xishuangbanna, China"
HG02397,HG02397,CDX,"Chinese Dai in Xishuangbanna, China"
HG02398,HG02398,CDX,"Chinese Dai in Xishuangbanna, China"
HG02399,HG02399,CDX,"Chinese Dai in Xishuangbanna, China"
HG02401,HG02401,CDX,"Chinese Dai in Xishuangbanna, China"
HG02402,HG02402,CDX,"Chinese Dai in Xishuangbanna, China"
HG02405,HG02405,CDX,"Chinese Dai in Xishuangbanna, China"
HG02406,HG02406,CDX,"Chinese Dai in Xishuangbanna, China"
HG02407,HG02407,CDX,"Chinese Dai in Xishuangbanna, China"
HG02408,HG02408,CDX,"Chinese Dai in Xishuangbanna, China"
HG02409,HG02409,CDX,"Chinese Dai in Xishuangbanna, China"
HG02410,HG02410,CDX,"Chinese Dai in Xishuangbanna, China"
HG02415,PEL58,PEL,"Peruvian in Lima, Peru"
HG02419,BB36,ACB,African Caribbean in Barbados
HG02420,BB37,ACB,African Caribbean in Barbados
HG02425,PEL59,PEL,"Peruvian in Lima, Peru"
HG02427,BB37,ACB,African Caribbean in Barbados
HG02428,BB37,ACB,African Caribbean in Barbados
HG02429,BB39,ACB,African Caribbean in Barbados
HG02433,BB41,ACB,African Caribbean in Barbados
HG02436,BB40,ACB,African Caribbean in Barbados
HG02439,BB42,ACB,African Caribbean in Barbados
HG02442,BB43,ACB,African Caribbean in Barbados
HG02445,BB44,ACB,African Caribbean in Barbados
HG02449,BB46,ACB,African Caribbean in Barbados
HG02450,BB46,ACB,African Caribbean in Barbados
HG02451,BB46,ACB,African Caribbean in Barbados
HG02455,BB48,ACB,African Caribbean in Barbados
HG02461,GB15,GWD,"Gambian in Western Division, The Gambia"
HG02462,GB15,GWD,"Gambian in Western Division, The Gambia"
HG02463,GB15,GWD,"Gambian in Western Division, The Gambia"
HG02464,GB16,GWD,"Gambian in Western Division, The Gambia"
HG02465,GB16,GWD,"Gambian in Western Division, The Gambia"
HG02466,GB16,GWD,"Gambian in Western Division, The Gambia"
HG02470,BB49,ACB,African Caribbean in Barbados
HG02471,BB49,ACB,African Caribbean in Barbados
HG02476,BB51,ACB,African Caribbean in Barbados
HG02477,BB52,ACB,African Caribbean in Barbados
HG02478,BB53,ACB,African Caribbean in Barbados
HG02479,BB53,ACB,African Caribbean in Barbados
HG02480,BB53,ACB,African Caribbean in Barbados
HG02481,BB54,ACB,African Caribbean in Barbados
HG02484,BB55,ACB,African Caribbean in Barbados
HG02485,BB55,ACB,African Caribbean in Barbados
HG02486,BB55,ACB,African Caribbean in Barbados
HG02489,BB45,ACB,African Caribbean in Barbados
HG02490,PK06,PJL,"Punjabi in Lahore,Pakistan"
HG02491,PK06,PJL,"Punjabi in Lahore,Pakistan"
HG02492,PK06,PJL,"Punjabi in Lahore,Pakistan"
HG02493,PK07,PJL,"Punjabi in Lahore,Pakistan"
HG02494,PK07,PJL,"Punjabi in Lahore,Pakistan"
HG02495,PK07,PJL,"Punjabi in Lahore,Pakistan"
HG02496,BB57,ACB,African Caribbean in Barbados
HG02497,BB57,ACB,African Caribbean in Barbados
HG02501,BB58,ACB,African Caribbean in Barbados
HG02502,BB58,ACB,African Caribbean in Barbados
HG02505,BB59,ACB,African Caribbean in Barbados
HG02508,BB60,ACB,African Caribbean in Barbados
HG02511,BB56,ACB,African Caribbean in Barbados
HG02512,VN087,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02513,VN087,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02514,VN087,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02521,VN090,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02522,VN090,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02523,VN090,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02524,VN91,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02525,VN91,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02526,VN91,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02536,BB61,ACB,African Caribbean in Barbados
HG02537,BB61,ACB,African Caribbean in Barbados
HG02541,BB63,ACB,African Caribbean in Barbados
HG02545,BB64,ACB,African Caribbean in Barbados
HG02546,BB64,ACB,African Caribbean in Barbados
HG02547,BB64,ACB,African Caribbean in Barbados
HG02549,BB65,ACB,African Caribbean in Barbados
HG02554,BB67,ACB,African Caribbean in Barbados
HG02555,BB67,ACB,African Caribbean in Barbados
HG02557,BB68,ACB,African Caribbean in Barbados
HG02558,BB68,ACB,African Caribbean in Barbados
HG02559,BB68,ACB,African Caribbean in Barbados
HG02561,GB18,GWD,"Gambian in Western Division, The Gambia"
HG02562,GB18,GWD,"Gambian in Western Division, The Gambia"
HG02563,GB18,GWD,"Gambian in Western Division, The Gambia"
HG02567,GB20,GWD,"Gambian in Western Division, The Gambia"
HG02568,GB20,GWD,"Gambian in Western Division, The Gambia"
HG02569,GB20,GWD,"Gambian in Western Division, The Gambia"
HG02570,GB21,GWD,"Gambian in Western Division, The Gambia"
HG02571,GB21,GWD,"Gambian in Western Division, The Gambia"
HG02572,GB21,GWD,"Gambian in Western Division, The Gambia"
HG02573,GB22,GWD,"Gambian in Western Division, The Gambia"
HG02574,GB22,GWD,"Gambian in Western Division, The Gambia"
HG02575,GB22,GWD,"Gambian in Western Division, The Gambia"
HG02577,BB69,ACB,African Caribbean in Barbados
HG02580,BB70,ACB,African Caribbean in Barbados
HG02582,GB23,GWD,"Gambian in Western Division, The Gambia"
HG02583,GB23,GWD,"Gambian in Western Division, The Gambia"
HG02584,GB23,GWD,"Gambian in Western Division, The Gambia"
HG02585,GB24,GWD,"Gambian in Western Division, The Gambia"
HG02586,GB24,GWD,"Gambian in Western Division, The Gambia"
HG02587,GB24,GWD,"Gambian in Western Division, The Gambia"
HG02588,GB25,GWD,"Gambian in Western Division, The Gambia"
HG02589,GB25,GWD,"Gambian in Western Division, The Gambia"
HG02590,GB25,GWD,"Gambian in Western Division, The Gambia"
HG02594,GB27,GWD,"Gambian in Western Division, The Gambia"
HG02595,GB27,GWD,"Gambian in Western Division, The Gambia"
HG02596,GB27,GWD,"Gambian in Western Division, The Gambia"
HG02597,PK08,PJL,"Punjabi in Lahore,Pakistan"
HG02599,PK08,PJL,"Punjabi in Lahore,Pakistan"
HG02600,PK09,PJL,"Punjabi in Lahore,Pakistan"
HG02601,PK09,PJL,"Punjabi in Lahore,Pakistan"
HG02602,PK09,PJL,"Punjabi in Lahore,Pakistan"
HG02603,PK10,PJL,"Punjabi in Lahore,Pakistan"
HG02604,PK10,PJL,"Punjabi in Lahore,Pakistan"
HG02605,PK10,PJL,"Punjabi in Lahore,Pakistan"
HG02610,GB28,GWD,"Gambian in Western Division, The Gambia"
HG02611,GB28,GWD,"Gambian in Western Division, The Gambia"
HG02612,GB28,GWD,"Gambian in Western Division, The Gambia"
HG02613,GB29,GWD,"Gambian in Western Division, The Gambia"
HG02614,GB29,GWD,"Gambian in Western Division, The Gambia"
HG02615,GB29,GWD,"Gambian in Western Division, The Gambia"
HG02620,GB31,GWD,"Gambian in Western Division, The Gambia"
HG02621,GB31,GWD,"Gambian in Western Division, The Gambia"
HG02622,GB31,GWD,"Gambian in Western Division, The Gambia"
HG02623,GB32,GWD,"Gambian in Western Division, The Gambia"
HG02624,GB32,GWD,"Gambian in Western Division, The Gambia"
HG02625,GB32,GWD,"Gambian in Western Division, The Gambia"
HG02628,GB33,GWD,"Gambian in Western Division, The Gambia"
HG02629,GB33,GWD,"Gambian in Western Division, The Gambia"
HG02630,GB33,GWD,"Gambian in Western Division, The Gambia"
HG02634,GB35,GWD,"Gambian in Western Division, The Gambia"
HG02635,GB35,GWD,"Gambian in Western Division, The Gambia"
HG02636,GB35,GWD,"Gambian in Western Division, The Gambia"
HG02642,GB37,GWD,"Gambian in Western Division, The Gambia"
HG02643,GB37,GWD,"Gambian in Western Division, The Gambia"
HG02644,GB37,GWD,"Gambian in Western Division, The Gambia"
HG02645,GB38,GWD,"Gambian in Western Division, The Gambia"
HG02646,GB38,GWD,"Gambian in Western Division, The Gambia"
HG02647,GB38,GWD,"Gambian in Western Division, The Gambia"
HG02648,PK11,PJL,"Punjabi in Lahore,Pakistan"
HG02649,PK11,PJL,"Punjabi in Lahore,Pakistan"
HG02650,PK11,PJL,"Punjabi in Lahore,Pakistan"
HG02651,PK12,PJL,"Punjabi in Lahore,Pakistan"
HG02652,PK12,PJL,"Punjabi in Lahore,Pakistan"
HG02653,PK12,PJL,"Punjabi in Lahore,Pakistan"
HG02654,PK13,PJL,"Punjabi in Lahore,Pakistan"
HG02655,PK13,PJL,"Punjabi in Lahore,Pakistan"
HG02656,PK13,PJL,"Punjabi in Lahore,Pakistan"
HG02657,PK14,PJL,"Punjabi in Lahore,Pakistan"
HG02658,PK14,PJL,"Punjabi in Lahore,Pakistan"
HG02659,PK14,PJL,"Punjabi in Lahore,Pakistan"
HG02660,PK15,PJL,"Punjabi in Lahore,Pakistan"
HG02661,PK15,PJL,"Punjabi in Lahore,Pakistan"
HG02662,PK15,PJL,"Punjabi in Lahore,Pakistan"
HG02666,GB40,GWD,"Gambian in Western Division, The Gambia"
HG02667,GB40,GWD,"Gambian in Western Division, The Gambia"
HG02668,GB40,GWD,"Gambian in Western Division, The Gambia"
HG02675,GB43,GWD,"Gambian in Western Division, The Gambia"
HG02676,GB43,GWD,"Gambian in Western Division, The Gambia"
HG02677,GB43,GWD,"Gambian in Western Division, The Gambia"
HG02678,GB44,GWD,"Gambian in Western Division, The Gambia"
HG02679,GB44,GWD,"Gambian in Western Division, The Gambia"
HG02680,GB44,GWD,"Gambian in Western Division, The Gambia"
HG02681,PK16,PJL,"Punjabi in Lahore,Pakistan"
HG02682,PK16,PJL,"Punjabi in Lahore,Pakistan"
HG02683,PK16,PJL,"Punjabi in Lahore,Pakistan"
HG02684,PK17,PJL,"Punjabi in Lahore,Pakistan"
HG02685,PK17,PJL,"Punjabi in Lahore,Pakistan"
HG02686,PK17,PJL,"Punjabi in Lahore,Pakistan"
HG02687,PK18,PJL,"Punjabi in Lahore,Pakistan"
HG02688,PK18,PJL,"Punjabi in Lahore,Pakistan"
HG02689,PK18,PJL,"Punjabi in Lahore,Pakistan"
HG02690,PK19,PJL,"Punjabi in Lahore,Pakistan"
HG02691,PK19,PJL,"Punjabi in Lahore,Pakistan"
HG02692,PK19,PJL,"Punjabi in Lahore,Pakistan"
HG02694,PK20,PJL,"Punjabi in Lahore,Pakistan"
HG02696,PK21,PJL,"Punjabi in Lahore,Pakistan"
HG02697,PK21,PJL,"Punjabi in Lahore,Pakistan"
HG02698,PK21,PJL,"Punjabi in Lahore,Pakistan"
HG02699,PK22,PJL,"Punjabi in Lahore,Pakistan"
HG02700,PK22,PJL,"Punjabi in Lahore,Pakistan"
HG02701,PK22,PJL,"Punjabi in Lahore,Pakistan"
HG02702,GB45,GWD,"Gambian in Western Division, The Gambia"
HG02703,GB45,GWD,"Gambian in Western Division, The Gambia"
HG02704,GB45,GWD,"Gambian in Western Division, The Gambia"
HG02715,GB50,GWD,"Gambian in Western Division, The Gambia"
HG02716,GB50,GWD,"Gambian in Western Division, The Gambia"
HG02717,GB50,GWD,"Gambian in Western Division, The Gambia"
HG02721,GB52,GWD,"Gambian in Western Division, The Gambia"
HG02722,GB52,GWD,"Gambian in Western Division, The Gambia"
HG02723,GB52,GWD,"Gambian in Western Division, The Gambia"
HG02724,PK23,PJL,"Punjabi in Lahore,Pakistan"
HG02725,PK23,PJL,"Punjabi in Lahore,Pakistan"
HG02726,PK23,PJL,"Punjabi in Lahore,Pakistan"
