Sample,Family ID,Population,Population Description
HG00615,SH064,CHS,"Southern Han Chinese, China"
HG00619,SH066,CHS,"Southern Han Chinese, China"
HG00620,SH066,CHS,"Southern Han Chinese, China"
HG00621,SH066,CHS,"Southern Han Chinese, China"
HG00622,SH067,CHS,"Southern Han Chinese, China"
HG00623,SH067,CHS,"Southern Han Chinese, China"
HG00624,SH067,CHS,"Southern Han Chinese, China"
HG00625,SH068,CHS,"Southern Han Chinese, China"
HG00626,SH068,CHS,"Southern Han Chinese, China"
HG00627,SH068,CHS,"Southern Han Chinese, China"
HG00628,SH069,CHS,"Southern Han Chinese, China"
HG00629,SH069,CHS,"Southern Han Chinese, China"
HG00630,SH069,CHS,"Southern Han Chinese, China"
HG00631,SH070,CHS,"Southern Han Chinese, China"
HG00632,SH070,CHS,"Southern Han Chinese, China"
HG00633,SH070,CHS,"Southern Han Chinese, China"
HG00634,SH071,CHS,"Southern Han Chinese, China"
HG00635,SH071,CHS,"Southern Han Chinese, China"
HG00636,SH071,CHS,"Southern Han Chinese, China"
HG00637,PR03,PUR,Puerto Rican in Puerto Rico
HG00638,PR03,PUR,Puerto Rican in Puerto Rico
HG00639,PR03,PUR,Puerto Rican in Puerto Rico
HG00640,PR04,PUR,Puerto Rican in Puerto Rico
HG00641,PR04,PUR,Puerto Rican in Puerto Rico
HG00642,PR04,PUR,Puerto Rican in Puerto Rico
HG00650,SH072,CHS,"Southern Han Chinese, China"
HG00651,SH072,CHS,"Southern Han Chinese, China"
HG00652,SH072,CHS,"Southern Han Chinese, China"
HG00653,SH073,CHS,"Southern Han Chinese, China"
HG00654,SH073,CHS,"Southern Han Chinese, China"
HG00655,SH073,CHS,"Southern Han Chinese, China"
HG00656,SH074,CHS,"Southern Han Chinese, China"
HG00657,SH074,CHS,"Southern Han Chinese, China"
HG00658,SH074,CHS,"Southern Han Chinese, China"
HG00662,SH076,CHS,"Southern Han Chinese, China"
HG00663,SH076,CHS,"Southern Han Chinese, China"
HG00664,SH076,CHS,"Southern Han Chinese, China"
HG00671,SH079,CHS,"Southern Han Chinese, China"
HG00672,SH079,CHS,"Southern Han Chinese, China"
HG00673,SH079,CHS,"Southern Han Chinese, China"
HG00674,SH080,CHS,"Southern Han Chinese, China"
HG00675,SH080,CHS,"Southern Han Chinese, China"
HG00676,SH080,CHS,"Southern Han Chinese, China"
HG00683,SH083,CHS,"Southern Han Chinese, China"
HG00684,SH083,CHS,"Southern Han Chinese, China"
HG00685,SH083,CHS,"Southern Han Chinese, China"
HG00689,SH085,CHS,"Southern Han Chinese, China"
HG00690,SH085,CHS,"Southern Han Chinese, China"
HG00691,SH085,CHS,"Southern Han Chinese, China"
HG00692,SH086,CHS,"Southern Han Chinese, China"
HG00693,SH086,CHS,"Southern Han Chinese, China"
